Attribute Key,Attribute Name,Entity Key,Entity Name,Folder Key,Folder Name,Data Asset key,Description,Index,
2f54d9af-2203-4b89-811e-4fe03fac4045,DW_DATE_CREATED,fc633586-e28e-4369-a53f-4e1838b66550,LBAAS_LOAD_BALANCERS_STG,9cfab78c-8fcb-4b94-a2ff-6960e4559fe7,DW_STG_USER,366c052b-1c35-4c26-bf15-9a18fa5c81d5,null,null,
7fda08bf-b61a-49cd-a96d-751e0a35419b,CUSTOMER_NUMBER,87d4ce92-f28e-4783-a886-3d36ebc4b394,PARTNER_CUSTOMERS,1cfd701b-3277-46ea-be3b-81408611875f,OCIA_DM,366c052b-1c35-4c26-bf15-9a18fa5c81d5,null,null,
fb2e430b-72ab-458d-a130-8eee8e5f12d9,CATEGORY_02,a607a45a-b914-4e63-87c9-471d8f50b1fd,OBSOLETE__BIZINT_235_ACCOUNT_DIM_20190411,9cfab78c-8fcb-4b94-a2ff-6960e4559fe7,DW_STG_USER,366c052b-1c35-4c26-bf15-9a18fa5c81d5,null,null,
aa7e85a4-a0a1-4db0-9e19-b3c221c22f2f,MODEL,bdd8dbed-aa46-40b0-b831-24ae231694f1,OCIC_EXADATA_CAPACITY_UTILIZATION,9cfab78c-8fcb-4b94-a2ff-6960e4559fe7,DW_STG_USER,366c052b-1c35-4c26-bf15-9a18fa5c81d5,null,null,
648988d1-6ae3-43bf-9d7b-d55ad968569c,STATE,fc633586-e28e-4369-a53f-4e1838b66550,LBAAS_LOAD_BALANCERS_STG,9cfab78c-8fcb-4b94-a2ff-6960e4559fe7,DW_STG_USER,366c052b-1c35-4c26-bf15-9a18fa5c81d5,null,null,
f4e132eb-eddd-4021-9faa-5cb08103ae56,LAST_UPDATED_TIME,a607a45a-b914-4e63-87c9-471d8f50b1fd,OBSOLETE__BIZINT_235_ACCOUNT_DIM_20190411,9cfab78c-8fcb-4b94-a2ff-6960e4559fe7,DW_STG_USER,366c052b-1c35-4c26-bf15-9a18fa5c81d5,null,null,
4e8bf31d-24bc-4ee6-9a88-2c438f31d254,GLOBAL_ULTIMATE_ALTERNATE_NAME,87d4ce92-f28e-4783-a886-3d36ebc4b394,PARTNER_CUSTOMERS,1cfd701b-3277-46ea-be3b-81408611875f,OCIA_DM,366c052b-1c35-4c26-bf15-9a18fa5c81d5,null,null,
0b7199b8-d65c-4ddd-a594-3aa4df785d74,REFERENCED_TYPE,adcf7765-f6f8-470d-b214-74ad77106012,TBL_DB_REFERENCES,91a1c479-fd32-4c63-9589-836185ecb052,DW_OPERATIONS,366c052b-1c35-4c26-bf15-9a18fa5c81d5,null,null,
92381fb9-8b31-402e-b714-02cc29329171,CREATEDON,fc633586-e28e-4369-a53f-4e1838b66550,LBAAS_LOAD_BALANCERS_STG,9cfab78c-8fcb-4b94-a2ff-6960e4559fe7,DW_STG_USER,366c052b-1c35-4c26-bf15-9a18fa5c81d5,null,null,
767c7ba1-8a98-4c3a-91d0-b0d00d993f60,SHAPE,bdd8dbed-aa46-40b0-b831-24ae231694f1,OCIC_EXADATA_CAPACITY_UTILIZATION,9cfab78c-8fcb-4b94-a2ff-6960e4559fe7,DW_STG_USER,366c052b-1c35-4c26-bf15-9a18fa5c81d5,null,null,
